run,regime,slots,d_model,dropout,alpha,seed,best_val_loss,epochs_run,all_acc,reg_acc,irr_acc,balanced_acc,reg_n,irr_n,wug_reg,wug_reg_n,wug_irr,wug_irr_n
v20_oversample_slots_d128_dr0p1_a1_s3,oversample,True,128,0.1,1.0,3,0.07404511894744176,82,0.9062,0.9409,0.125,0.5329,389,16,51,90,2,90
v20_oversample_slots_d128_dr0p1_a2_s1,oversample,True,128,0.1,2.0,1,0.14246045798063278,53,0.8889,0.9221,0.25,0.586,385,20,46,90,5,90
v20_oversample_slots_d128_dr0p1_a2_s2,oversample,True,128,0.1,2.0,2,0.09011661261320114,51,0.8519,0.886,0.1053,0.4956,386,19,52,90,3,90
v20_oversample_slots_d128_dr0p1_a2_s3,oversample,True,128,0.1,2.0,3,0.09669477986888243,95,0.9012,0.9383,0.1875,0.5629,389,16,48,90,2,90
v20_oversample_slots_d128_dr0p2_a0p25_s1,oversample,True,128,0.2,0.25,1,0.11348641778414066,101,0.9062,0.9403,0.25,0.5951,385,20,47,90,4,90
v20_oversample_slots_d128_dr0p2_a0p25_s2,oversample,True,128,0.2,0.25,2,0.08871349814133002,107,0.9086,0.9482,0.1053,0.5267,386,19,47,90,1,90
v20_oversample_slots_d128_dr0p2_a0p25_s3,oversample,True,128,0.2,0.25,3,0.08391308240019359,112,0.9062,0.9306,0.3125,0.6215,389,16,45,90,2,90
v20_oversample_slots_d128_dr0p2_a0p5_s1,oversample,True,128,0.2,0.5,1,0.1320114300514643,69,0.9012,0.9325,0.35,0.6412,385,20,40,90,3,90
v20_oversample_slots_d128_dr0p2_a0p5_s2,oversample,True,128,0.2,0.5,2,0.08783894325964726,100,0.9309,0.9689,0.1579,0.5634,386,19,47,90,2,90
v20_oversample_slots_d128_dr0p2_a0p5_s3,oversample,True,128,0.2,0.5,3,0.09025178419855925,76,0.9136,0.9383,0.375,0.6567,389,16,47,90,1,90
v20_oversample_slots_d128_dr0p2_a1_s1,oversample,True,128,0.2,1.0,1,0.11897516967012332,83,0.9235,0.9532,0.3,0.6266,385,20,52,90,1,90
v20_oversample_slots_d128_dr0p2_a1_s2,oversample,True,128,0.2,1.0,2,0.07971887705990902,78,0.8815,0.9249,0.0526,0.4888,386,19,50,90,3,90
v20_oversample_slots_d128_dr0p2_a1_s3,oversample,True,128,0.2,1.0,3,0.07719606744985168,75,0.9259,0.9614,0.375,0.6682,389,16,44,90,3,90
v20_oversample_slots_d128_dr0p2_a2_s1,oversample,True,128,0.2,2.0,1,0.1046716609539894,68,0.9111,0.9455,0.25,0.5977,385,20,49,90,4,90
v20_oversample_slots_d128_dr0p2_a2_s2,oversample,True,128,0.2,2.0,2,0.07822834336324237,72,0.916,0.9585,0.1053,0.5319,386,19,48,90,3,90
v20_oversample_slots_d128_dr0p2_a2_s3,oversample,True,128,0.2,2.0,3,0.07847822618742402,98,0.9235,0.9512,0.25,0.6006,389,16,51,90,4,90
v20_oversample_slots_d128_dr0p3_a0p25_s1,oversample,True,128,0.3,0.25,1,0.13956466388817018,93,0.9136,0.9455,0.3,0.6227,385,20,46,90,4,90
v20_oversample_slots_d128_dr0p3_a0p25_s2,oversample,True,128,0.3,0.25,2,0.09564663973063804,114,0.9309,0.9715,0.1053,0.5384,386,19,49,90,1,90
v20_oversample_slots_d128_dr0p3_a0p25_s3,oversample,True,128,0.3,0.25,3,0.09279289927620155,105,0.921,0.9486,0.375,0.6618,389,16,47,90,4,90
v20_oversample_slots_d128_dr0p3_a0p5_s1,oversample,True,128,0.3,0.5,1,0.11198670947207855,65,0.8889,0.9247,0.25,0.5873,385,20,35,90,6,90
v20_oversample_slots_d128_dr0p3_a0p5_s2,oversample,True,128,0.3,0.5,2,0.08435838085670884,84,0.9086,0.9456,0.1053,0.5254,386,19,42,90,5,90
v20_oversample_slots_d128_dr0p3_a0p5_s3,oversample,True,128,0.3,0.5,3,0.08260684041306376,97,0.9383,0.9666,0.3125,0.6395,389,16,47,90,2,90
v20_oversample_slots_d128_dr0p3_a1_s1,oversample,True,128,0.3,1.0,1,0.11500936560332775,58,0.884,0.9143,0.35,0.6321,385,20,41,90,7,90
v20_oversample_slots_d128_dr0p3_a1_s2,oversample,True,128,0.3,1.0,2,0.0818858201472232,64,0.8864,0.9223,0.1053,0.5138,386,19,37,90,4,90
v20_oversample_slots_d128_dr0p3_a1_s3,oversample,True,128,0.3,1.0,3,0.07429713992258677,66,0.9037,0.9306,0.375,0.6528,389,16,41,90,2,90
v20_oversample_slots_d128_dr0p3_a2_s1,oversample,True,128,0.3,2.0,1,0.11189257582792869,82,0.9136,0.9481,0.35,0.649,385,20,41,90,3,90
v20_oversample_slots_d128_dr0p3_a2_s2,oversample,True,128,0.3,2.0,2,0.0817734321507697,64,0.8889,0.9223,0.2105,0.5664,386,19,43,90,4,90
v20_oversample_slots_d128_dr0p3_a2_s3,oversample,True,128,0.3,2.0,3,0.08442131214990066,95,0.9111,0.9434,0.25,0.5967,389,16,43,90,4,90
v20_oversample_slots_d64_dr0p1_a0p25_s1,oversample,True,64,0.1,0.25,1,0.11170323895147213,122,0.9037,0.9377,0.25,0.5938,385,20,48,90,4,90
v20_oversample_slots_d64_dr0p1_a0p25_s2,oversample,True,64,0.1,0.25,2,0.09700017852278855,108,0.8691,0.9067,0.1053,0.506,386,19,47,90,0,90
v20_oversample_slots_d64_dr0p1_a0p25_s3,oversample,True,64,0.1,0.25,3,0.1009446709201886,111,0.8765,0.9049,0.1875,0.5462,389,16,45,90,1,90
v20_oversample_slots_d64_dr0p1_a0p5_s1,oversample,True,64,0.1,0.5,1,0.13180444074364808,148,0.9037,0.9403,0.2,0.5701,385,20,49,90,4,90
v20_oversample_slots_d64_dr0p1_a0p5_s2,oversample,True,64,0.1,0.5,2,0.09733734852992572,76,0.8815,0.9197,0.1053,0.5125,386,19,43,90,1,90
v20_oversample_slots_d64_dr0p1_a0p5_s3,oversample,True,64,0.1,0.5,3,0.09084342511442418,104,0.8963,0.928,0.125,0.5265,389,16,49,90,2,90
v20_oversample_slots_d64_dr0p1_a1_s1,oversample,True,64,0.1,1.0,1,0.12650501212248436,82,0.8765,0.9039,0.4,0.6519,385,20,54,90,2,90
v20_oversample_slots_d64_dr0p1_a1_s2,oversample,True,64,0.1,1.0,2,0.10046789845308432,103,0.9086,0.9482,0.1053,0.5267,386,19,49,90,0,90
v20_oversample_slots_d64_dr0p1_a1_s3,oversample,True,64,0.1,1.0,3,0.08603193908213423,74,0.8914,0.9229,0.125,0.5239,389,16,47,90,1,90
v20_oversample_slots_d64_dr0p1_a2_s1,oversample,True,64,0.1,2.0,1,0.13226693811324927,52,0.8494,0.8779,0.3,0.589,385,20,42,90,6,90
v20_oversample_slots_d64_dr0p1_a2_s2,oversample,True,64,0.1,2.0,2,0.0898229913212932,66,0.8543,0.8912,0.1053,0.4982,386,19,49,90,1,90
v20_oversample_slots_d64_dr0p1_a2_s3,oversample,True,64,0.1,2.0,3,0.08469863207294391,103,0.879,0.9152,0.0,0.4576,389,16,57,90,2,90
v20_oversample_slots_d64_dr0p2_a0p25_s1,oversample,True,64,0.2,0.25,1,0.11185837895251237,127,0.9062,0.9403,0.25,0.5951,385,20,43,90,6,90
v20_oversample_slots_d64_dr0p2_a0p25_s2,oversample,True,64,0.2,0.25,2,0.07580136303574993,108,0.9136,0.9508,0.1053,0.528,386,19,48,90,3,90
v20_oversample_slots_d64_dr0p2_a0p25_s3,oversample,True,64,0.2,0.25,3,0.0977710598649887,92,0.9062,0.9409,0.25,0.5954,389,16,43,90,2,90
v20_oversample_slots_d64_dr0p2_a0p5_s1,oversample,True,64,0.2,0.5,1,0.11800235796433228,130,0.9037,0.9377,0.25,0.5938,385,20,46,90,6,90
v20_oversample_slots_d64_dr0p2_a0p5_s2,oversample,True,64,0.2,0.5,2,0.07158174784854054,83,0.9259,0.9637,0.1579,0.5608,386,19,48,90,2,90
v20_oversample_slots_d64_dr0p2_a0p5_s3,oversample,True,64,0.2,0.5,3,0.08193941407192212,85,0.9309,0.9563,0.3125,0.6344,389,16,48,90,2,90
v20_oversample_slots_d64_dr0p2_a1_s1,oversample,True,64,0.2,1.0,1,0.11307729981266536,86,0.8543,0.8883,0.25,0.5692,385,20,46,90,5,90
v20_oversample_slots_d64_dr0p2_a1_s2,oversample,True,64,0.2,1.0,2,0.08052859052370948,105,0.884,0.9197,0.1579,0.5388,386,19,43,90,5,90
v20_oversample_slots_d64_dr0p2_a1_s3,oversample,True,64,0.2,1.0,3,0.077091742414408,99,0.9136,0.9357,0.3125,0.6241,389,16,49,90,2,90
v20_oversample_slots_d64_dr0p2_a2_s1,oversample,True,64,0.2,2.0,1,0.1140840221196413,159,0.9062,0.9429,0.2,0.5714,385,20,48,90,3,90
v20_oversample_slots_d64_dr0p2_a2_s2,oversample,True,64,0.2,2.0,2,0.08315754782121915,76,0.8272,0.8627,0.1053,0.484,386,19,44,90,4,90
v20_oversample_slots_d64_dr0p2_a2_s3,oversample,True,64,0.2,2.0,3,0.08089780886299335,99,0.8988,0.9254,0.25,0.5877,389,16,45,90,4,90
v20_oversample_slots_d64_dr0p3_a0p25_s1,oversample,True,64,0.3,0.25,1,0.11606418269758041,102,0.8444,0.8753,0.25,0.5627,385,20,43,90,4,90
v20_oversample_slots_d64_dr0p3_a0p25_s2,oversample,True,64,0.3,0.25,2,0.08287253875571948,127,0.8765,0.9145,0.1579,0.5362,386,19,37,90,3,90
v20_oversample_slots_d64_dr0p3_a0p25_s3,oversample,True,64,0.3,0.25,3,0.08115995188172047,123,0.8889,0.9177,0.1875,0.5526,389,16,43,90,6,90
v20_oversample_slots_d64_dr0p3_a0p5_s1,oversample,True,64,0.3,0.5,1,0.12712099489111167,81,0.8963,0.9221,0.3,0.611,385,20,46,90,7,90
v20_oversample_slots_d64_dr0p3_a0p5_s2,oversample,True,64,0.3,0.5,2,0.07535545707035524,83,0.9012,0.9378,0.2105,0.5742,386,19,39,90,7,90
v20_oversample_slots_d64_dr0p3_a0p5_s3,oversample,True,64,0.3,0.5,3,0.0775270421917622,98,0.8444,0.874,0.25,0.562,389,16,37,90,10,90
v20_oversample_slots_d64_dr0p3_a1_s1,oversample,True,64,0.3,1.0,1,0.13588395084326083,85,0.8593,0.8909,0.3,0.5955,385,20,40,90,5,90
v20_oversample_slots_d64_dr0p3_a1_s2,oversample,True,64,0.3,1.0,2,0.07257869746536016,86,0.8667,0.9016,0.2105,0.556,386,19,37,90,7,90
v20_oversample_slots_d64_dr0p3_a1_s3,oversample,True,64,0.3,1.0,3,0.08560585201932834,124,0.8716,0.8997,0.3125,0.6061,389,16,43,90,5,90
v20_oversample_slots_d64_dr0p3_a2_s1,oversample,True,64,0.3,2.0,1,0.1335150393155905,103,0.8642,0.8961,0.3,0.5981,385,20,39,90,6,90
v20_oversample_slots_d64_dr0p3_a2_s2,oversample,True,64,0.3,2.0,2,0.08467856794595718,94,0.842,0.8756,0.1579,0.5168,386,19,42,90,5,90
v20_oversample_slots_d64_dr0p3_a2_s3,oversample,True,64,0.3,2.0,3,0.0656048828879228,97,0.9086,0.9383,0.3125,0.6254,389,16,40,90,7,90
v20_slots_d128_dr0p1_a0p25_s1,natural,True,128,0.1,0.25,1,0.145849727667295,159,0.8444,0.8779,0.2,0.539,385,20,51,90,0,90
v20_slots_d128_dr0p1_a0p25_s2,natural,True,128,0.1,0.25,2,0.1485867013151829,108,0.7753,0.8083,0.1053,0.4568,386,19,41,90,0,90
v20_slots_d128_dr0p1_a0p25_s3,natural,True,128,0.1,0.25,3,0.12505565139536673,148,0.8321,0.8612,0.125,0.4931,389,16,46,90,1,90
v20_slots_d128_dr0p1_a0p5_s1,natural,True,128,0.1,0.5,1,0.12504571303725243,99,0.8765,0.9117,0.2,0.5558,385,20,49,90,3,90
v20_slots_d128_dr0p1_a0p5_s2,natural,True,128,0.1,0.5,2,0.10808188396577652,131,0.8568,0.8938,0.1053,0.4995,386,19,42,90,2,90
v20_slots_d128_dr0p1_a0p5_s3,natural,True,128,0.1,0.5,3,0.11000969404211411,153,0.884,0.9177,0.0625,0.4901,389,16,43,90,1,90
v20_slots_d128_dr0p1_a1_s1,natural,True,128,0.1,1.0,1,0.11486881598830223,83,0.8864,0.9221,0.2,0.561,385,20,52,90,5,90
v20_slots_d128_dr0p1_a1_s2,natural,True,128,0.1,1.0,2,0.09263015169507036,101,0.8765,0.9145,0.1053,0.5099,386,19,52,90,0,90
v20_slots_d128_dr0p1_a1_s3,natural,True,128,0.1,1.0,3,0.08405907946423842,75,0.884,0.9203,0.0,0.4602,389,16,55,90,1,90
v20_slots_d128_dr0p1_a2_s1,natural,True,128,0.1,2.0,1,0.11147935745807794,40,0.9062,0.9429,0.2,0.5714,385,20,53,90,4,90
v20_slots_d128_dr0p1_a2_s2,natural,True,128,0.1,2.0,2,0.08351312155047289,77,0.8963,0.9352,0.1053,0.5202,386,19,57,90,1,90
v20_slots_d128_dr0p1_a2_s3,natural,True,128,0.1,2.0,3,0.083525100006507,60,0.8741,0.9152,0.0,0.4576,389,16,50,90,2,90
v20_slots_d128_dr0p2_a0p25_s1,natural,True,128,0.2,0.25,1,0.11759393920118992,124,0.8914,0.9195,0.2,0.5597,385,20,49,90,3,90
v20_slots_d128_dr0p2_a0p25_s2,natural,True,128,0.2,0.25,2,0.10985423452579059,103,0.8222,0.8601,0.1053,0.4827,386,19,40,90,1,90
v20_slots_d128_dr0p2_a0p25_s3,natural,True,128,0.2,0.25,3,0.09062499244912313,162,0.8963,0.9332,0.0,0.4666,389,16,52,90,1,90
v20_slots_d128_dr0p2_a0p5_s1,natural,True,128,0.2,0.5,1,0.11332267035658543,118,0.9086,0.9403,0.25,0.5951,385,20,51,90,2,90
v20_slots_d128_dr0p2_a0p5_s2,natural,True,128,0.2,0.5,2,0.0816296749533369,149,0.9111,0.9508,0.1053,0.528,386,19,54,90,0,90
v20_slots_d128_dr0p2_a0p5_s3,natural,True,128,0.2,0.5,3,0.0792971676788651,122,0.8914,0.928,0.0,0.464,389,16,53,90,1,90
v20_slots_d128_dr0p2_a1_s1,natural,True,128,0.2,1.0,1,0.0867453939639605,80,0.9086,0.9455,0.25,0.5977,385,20,46,90,3,90
v20_slots_d128_dr0p2_a1_s2,natural,True,128,0.2,1.0,2,0.08493527254232994,81,0.8815,0.9197,0.1053,0.5125,386,19,52,90,0,90
v20_slots_d128_dr0p2_a1_s3,natural,True,128,0.2,1.0,3,0.06946569681167603,94,0.9136,0.9512,0.125,0.5381,389,16,52,90,4,90
v20_slots_d128_dr0p2_a2_s1,natural,True,128,0.2,2.0,1,0.09735291264951229,100,0.9333,0.9636,0.25,0.6068,385,20,61,90,0,90
v20_slots_d128_dr0p2_a2_s2,natural,True,128,0.2,2.0,2,0.06874892040370749,101,0.9284,0.9689,0.1053,0.5371,386,19,53,90,0,90
v20_slots_d128_dr0p2_a2_s3,natural,True,128,0.2,2.0,3,0.06782450251137981,103,0.9136,0.9486,0.125,0.5368,389,16,54,90,0,90
v20_slots_d128_dr0p3_a0p25_s1,natural,True,128,0.3,0.25,1,0.12011053441808774,136,0.8691,0.9091,0.2,0.5545,385,20,49,90,0,90
v20_slots_d128_dr0p3_a0p25_s2,natural,True,128,0.3,0.25,2,0.08151109122599547,160,0.879,0.9171,0.1579,0.5375,386,19,47,90,2,90
v20_slots_d128_dr0p3_a0p25_s3,natural,True,128,0.3,0.25,3,0.07683228328824043,112,0.8889,0.9203,0.125,0.5227,389,16,48,90,1,90
v20_slots_d128_dr0p3_a0p5_s1,natural,True,128,0.3,0.5,1,0.09697967108625632,119,0.9086,0.9377,0.3,0.6188,385,20,50,90,2,90
v20_slots_d128_dr0p3_a0p5_s2,natural,True,128,0.3,0.5,2,0.07602392387791322,123,0.8963,0.9352,0.1053,0.5202,386,19,52,90,1,90
v20_slots_d128_dr0p3_a0p5_s3,natural,True,128,0.3,0.5,3,0.06982195821519081,123,0.9333,0.9743,0.0,0.4871,389,16,52,90,1,90
v20_slots_d128_dr0p3_a1_s1,natural,True,128,0.3,1.0,1,0.08525686725400962,108,0.9259,0.9558,0.3,0.6279,385,20,56,90,1,90
v20_slots_d128_dr0p3_a1_s2,natural,True,128,0.3,1.0,2,0.05887648739063969,98,0.9111,0.9508,0.1053,0.528,386,19,50,90,0,90
v20_slots_d128_dr0p3_a1_s3,natural,True,128,0.3,1.0,3,0.05839354895914976,113,0.9358,0.9717,0.0625,0.5171,389,16,56,90,1,90
v20_slots_d128_dr0p3_a2_s1,natural,True,128,0.3,2.0,1,0.08299806491973308,103,0.9086,0.9455,0.25,0.5977,385,20,53,90,2,90
v20_slots_d128_dr0p3_a2_s2,natural,True,128,0.3,2.0,2,0.06805555594082062,119,0.916,0.956,0.1053,0.5306,386,19,52,90,3,90
v20_slots_d128_dr0p3_a2_s3,natural,True,128,0.3,2.0,3,0.054833248329277225,102,0.921,0.9512,0.125,0.5381,389,16,45,90,2,90
v20_slots_d64_dr0p1_a0p25_s1,natural,True,64,0.1,0.25,1,0.12023153886772119,117,0.8691,0.8935,0.2,0.5468,385,20,48,90,0,90
v20_slots_d64_dr0p1_a0p25_s2,natural,True,64,0.1,0.25,2,0.10063747803752239,156,0.8667,0.9067,0.1053,0.506,386,19,47,90,1,90
v20_slots_d64_dr0p1_a0p25_s3,natural,True,64,0.1,0.25,3,0.11954960671181862,126,0.8519,0.8895,0.0,0.4447,389,16,49,90,1,90
v20_slots_d64_dr0p1_a0p5_s1,natural,True,64,0.1,0.5,1,0.10769039994248977,132,0.9086,0.9429,0.25,0.5964,385,20,54,90,4,90
v20_slots_d64_dr0p1_a0p5_s2,natural,True,64,0.1,0.5,2,0.08891298621892929,152,0.8716,0.9067,0.1053,0.506,386,19,52,90,2,90
v20_slots_d64_dr0p1_a0p5_s3,natural,True,64,0.1,0.5,3,0.08117590772990997,126,0.9062,0.9409,0.125,0.5329,389,16,53,90,2,90
v20_slots_d64_dr0p1_a1_s1,natural,True,64,0.1,1.0,1,0.09295711021583813,101,0.9012,0.9351,0.2,0.5675,385,20,54,90,2,90
v20_slots_d64_dr0p1_a1_s2,natural,True,64,0.1,1.0,2,0.06648340398589006,116,0.8889,0.9223,0.1053,0.5138,386,19,55,90,3,90
v20_slots_d64_dr0p1_a1_s3,natural,True,64,0.1,1.0,3,0.07139058883946675,106,0.9086,0.946,0.0625,0.5043,389,16,54,90,2,90
v20_slots_d64_dr0p1_a2_s1,natural,True,64,0.1,2.0,1,0.07687212039644901,71,0.9259,0.9584,0.25,0.6042,385,20,46,90,3,90
v20_slots_d64_dr0p1_a2_s2,natural,True,64,0.1,2.0,2,0.07238618667738941,90,0.9111,0.9508,0.1053,0.528,386,19,59,90,0,90
v20_slots_d64_dr0p1_a2_s3,natural,True,64,0.1,2.0,3,0.07290616674491993,96,0.9012,0.9383,0.0625,0.5004,389,16,58,90,1,90
v20_slots_d64_dr0p2_a0p25_s1,natural,True,64,0.2,0.25,1,0.09312897347486936,175,0.9185,0.9532,0.25,0.6016,385,20,52,90,0,90
v20_slots_d64_dr0p2_a0p25_s2,natural,True,64,0.2,0.25,2,0.08571156622985235,150,0.8938,0.9326,0.1053,0.519,386,19,47,90,0,90
v20_slots_d64_dr0p2_a0p25_s3,natural,True,64,0.2,0.25,3,0.07657462193702276,162,0.9062,0.9434,0.125,0.5342,389,16,51,90,1,90
v20_slots_d64_dr0p2_a0p5_s1,natural,True,64,0.2,0.5,1,0.09842977887735917,129,0.9062,0.9403,0.3,0.6201,385,20,55,90,1,90
v20_slots_d64_dr0p2_a0p5_s2,natural,True,64,0.2,0.5,2,0.06700047406439598,132,0.916,0.9585,0.1053,0.5319,386,19,53,90,0,90
v20_slots_d64_dr0p2_a0p5_s3,natural,True,64,0.2,0.5,3,0.0751502624927805,141,0.916,0.9537,0.0,0.4769,389,16,57,90,1,90
v20_slots_d64_dr0p2_a1_s1,natural,True,64,0.2,1.0,1,0.09204871537020573,102,0.9358,0.9688,0.25,0.6094,385,20,52,90,3,90
v20_slots_d64_dr0p2_a1_s2,natural,True,64,0.2,1.0,2,0.0570835003342766,120,0.9111,0.956,0.1053,0.5306,386,19,56,90,0,90
v20_slots_d64_dr0p2_a1_s3,natural,True,64,0.2,1.0,3,0.06150050934117574,119,0.9333,0.9717,0.0,0.4859,389,16,61,90,1,90
v20_slots_d64_dr0p2_a2_s1,natural,True,64,0.2,2.0,1,0.09000482711081322,100,0.9259,0.9662,0.2,0.5831,385,20,57,90,1,90
v20_slots_d64_dr0p2_a2_s2,natural,True,64,0.2,2.0,2,0.0449342866643117,94,0.9185,0.9611,0.1053,0.5332,386,19,55,90,0,90
v20_slots_d64_dr0p2_a2_s3,natural,True,64,0.2,2.0,3,0.056176937041947476,91,0.9185,0.9589,0.0,0.4794,389,16,57,90,1,90
v20_slots_d64_dr0p3_a0p25_s1,natural,True,64,0.3,0.25,1,0.10670849272551444,153,0.9086,0.9481,0.2,0.574,385,20,49,90,0,90
v20_slots_d64_dr0p3_a0p25_s2,natural,True,64,0.3,0.25,2,0.07199295638845517,174,0.8889,0.9301,0.0526,0.4913,386,19,49,90,0,90
v20_slots_d64_dr0p3_a0p25_s3,natural,True,64,0.3,0.25,3,0.06959296111017466,182,0.9284,0.9666,0.0,0.4833,389,16,54,90,1,90
v20_slots_d64_dr0p3_a0p5_s1,natural,True,64,0.3,0.5,1,0.0919763852770512,130,0.9235,0.9584,0.3,0.6292,385,20,53,90,0,90
v20_slots_d64_dr0p3_a0p5_s2,natural,True,64,0.3,0.5,2,0.06420470415972747,186,0.9284,0.9689,0.1053,0.5371,386,19,56,90,1,90
v20_slots_d64_dr0p3_a0p5_s3,natural,True,64,0.3,0.5,3,0.06817124540416095,150,0.9284,0.9666,0.0,0.4833,389,16,52,90,0,90
v20_slots_d64_dr0p3_a1_s1,natural,True,64,0.3,1.0,1,0.08057549810753419,101,0.9358,0.9792,0.2,0.5896,385,20,53,90,0,90
v20_slots_d64_dr0p3_a1_s2,natural,True,64,0.3,1.0,2,0.06313773567000261,123,0.9086,0.9482,0.1053,0.5267,386,19,49,90,1,90
v20_slots_d64_dr0p3_a1_s3,natural,True,64,0.3,1.0,3,0.06603411534944406,137,0.921,0.9589,0.0,0.4794,389,16,54,90,1,90
v20_slots_d64_dr0p3_a2_s1,natural,True,64,0.3,2.0,1,0.079082557788262,97,0.921,0.9584,0.2,0.5792,385,20,56,90,1,90
v20_slots_d64_dr0p3_a2_s2,natural,True,64,0.3,2.0,2,0.06631789879443553,93,0.9086,0.9508,0.1053,0.528,386,19,56,90,1,90
v20_slots_d64_dr0p3_a2_s3,natural,True,64,0.3,2.0,3,0.05377259940052262,138,0.921,0.964,0.0,0.482,389,16,52,90,2,90
