run,regime,slots,d_model,dropout,alpha,seed,best_val_loss,epochs_run,all_acc,reg_acc,irr_acc,balanced_acc,reg_n,irr_n,wug_reg,wug_reg_n,wug_irr,wug_irr_n
v20_noslot_d128_dr0p3_a1_s3,natural,False,128,0.3,1.0,3,0.05722415812600117,104,0.9235,0.9614,0.0,0.4807,389,16,53,90,0,90
v20_noslot_d128_dr0p3_a2_s1,natural,False,128,0.3,2.0,1,0.07713435747875617,117,0.9284,0.9558,0.3,0.6279,385,20,52,90,0,90
v20_noslot_d128_dr0p3_a2_s2,natural,False,128,0.3,2.0,2,0.05283643033068914,102,0.916,0.956,0.1053,0.5306,386,19,55,90,0,90
v20_noslot_d128_dr0p3_a2_s3,natural,False,128,0.3,2.0,3,0.05020319702676856,122,0.9111,0.946,0.0625,0.5043,389,16,57,90,1,90
v20_noslot_d64_dr0p1_a0p25_s1,natural,False,64,0.1,0.25,1,0.10472023307990569,150,0.8815,0.9143,0.25,0.5821,385,20,51,90,0,90
v20_noslot_d64_dr0p1_a0p25_s2,natural,False,64,0.1,0.25,2,0.10142516258817452,152,0.8741,0.9093,0.1053,0.5073,386,19,43,90,1,90
v20_noslot_d64_dr0p1_a0p25_s3,natural,False,64,0.1,0.25,3,0.10167457886899893,160,0.8938,0.928,0.125,0.5265,389,16,49,90,0,90
v20_noslot_d64_dr0p1_a0p5_s1,natural,False,64,0.1,0.5,1,0.10602951837846866,154,0.9235,0.9532,0.3,0.6266,385,20,58,90,0,90
v20_noslot_d64_dr0p1_a0p5_s2,natural,False,64,0.1,0.5,2,0.08694788856575122,112,0.8938,0.9326,0.1053,0.519,386,19,50,90,0,90
v20_noslot_d64_dr0p1_a0p5_s3,natural,False,64,0.1,0.5,3,0.06736047433402675,137,0.916,0.9512,0.0625,0.5068,389,16,49,90,1,90
v20_noslot_d64_dr0p1_a1_s1,natural,False,64,0.1,1.0,1,0.0748236277498878,123,0.9259,0.961,0.3,0.6305,385,20,52,90,2,90
v20_noslot_d64_dr0p1_a1_s2,natural,False,64,0.1,1.0,2,0.05623272931776368,115,0.9309,0.9741,0.1579,0.566,386,19,59,90,0,90
v20_noslot_d64_dr0p1_a1_s3,natural,False,64,0.1,1.0,3,0.06517916167369829,104,0.9185,0.9537,0.0625,0.5081,389,16,59,90,0,90
v20_noslot_d64_dr0p1_a2_s1,natural,False,64,0.1,2.0,1,0.08213351810207734,54,0.9086,0.9403,0.2,0.5701,385,20,55,90,2,90
v20_noslot_d64_dr0p1_a2_s2,natural,False,64,0.1,2.0,2,0.059190754778683186,59,0.9259,0.9637,0.1053,0.5345,386,19,53,90,0,90
