phase1_epochs,regime,slots,n,bal_mean,bal_std,reg_mean,reg_std,irr_mean,irr_std,wug_reg_mean,wug_irr_mean
0,natural,False,3,0.5816666666666667,0.035217940503858694,0.9483,0.004680811895387411,0.21513333333333332,0.074972017001901,51.666666666666664,0.6666666666666666
0,natural,True,3,0.5546666666666668,0.04495212267883836,0.9525333333333332,0.00921809814079532,0.15680000000000002,0.09375483987506993,50.666666666666664,1.6666666666666667
0,oversample,False,3,0.5978,0.026353937087274074,0.9379333333333334,0.0025696951829610676,0.25766666666666665,0.05143037364567103,48.333333333333336,4.333333333333333
0,oversample,True,3,0.5566,0.05659257901880776,0.9197666666666667,0.02286358093854361,0.19343333333333335,0.13594801702611675,42.666666666666664,3.6666666666666665
30,natural,False,3,0.5402666666666667,0.04805250600471668,0.9413666666666667,0.006763381797099222,0.13926666666666668,0.09825661979395248,53.0,0.3333333333333333
30,natural,True,3,0.5663666666666667,0.05000503308001441,0.9560333333333334,0.00780341805450233,0.17676666666666666,0.10717678542171961,52.333333333333336,0.6666666666666666
30,oversample,False,3,0.6243666666666666,0.06410657792561801,0.9327333333333333,0.015866421566734387,0.316,0.11434268669224107,45.666666666666664,1.3333333333333333
30,oversample,True,3,0.5698,0.07085725086397296,0.9345,0.014028898745090407,0.20503333333333332,0.13565951250588118,43.0,2.6666666666666665
60,natural,False,3,0.5263666666666666,0.053245312782754274,0.931,0.010739180601889517,0.12169999999999999,0.11122126595215504,50.333333333333336,0.6666666666666666
60,natural,True,3,0.5126000000000001,0.05863249952031725,0.9068333333333333,0.023601765470687437,0.11843333333333333,0.1255163867123864,47.0,1.6666666666666667
60,oversample,False,3,0.5801,0.05267437707272865,0.9034333333333334,0.019606206500323638,0.2568,0.08587764551965778,42.0,2.6666666666666665
60,oversample,True,3,0.5690666666666667,0.047318530549176306,0.9405666666666667,0.01414508159514584,0.1976,0.09774216081098268,41.0,4.666666666666667
100,natural,False,2,0.4737,0.059255548263432635,0.8210500000000001,0.014354267658086983,0.1263,0.1042275395468971,45.5,1.0
100,natural,True,3,0.4615,0.04892882585960959,0.8387666666666668,0.008258530942808998,0.0842,0.10367699841334144,44.0,1.3333333333333333
100,oversample,True,3,0.5363666666666667,0.0698680422892565,0.8542666666666667,0.03985603258395561,0.21843333333333334,0.10111559391772039,35.666666666666664,7.0
