regime,slots,d_model,dropout,alpha,n_seeds,bal_mean,bal_std,reg_mean,reg_std,irr_mean,irr_std,wug_reg_mean,wug_irr_mean
oversample,False,128,0.3,0.5,3,0.6419333333333332,0.05600110117964946,0.9345,0.009659710140578748,0.34933333333333333,0.121686413922563,46.0,3.3333333333333335
oversample,False,128,0.3,0.25,3,0.6226333333333334,0.06949023912272378,0.9301666666666666,0.009519628844305504,0.3151333333333333,0.14302378590057435,47.0,3.3333333333333335
oversample,True,128,0.2,0.5,3,0.6204333333333333,0.049996633219981226,0.9465666666666667,0.019557436778201095,0.2943,0.11878539472510918,44.666666666666664,2.0
oversample,False,64,0.2,0.25,3,0.6177666666666667,0.07649355092642339,0.9370666666666666,0.02197597172671403,0.29846666666666666,0.13980630648627168,48.333333333333336,3.0
oversample,False,64,0.3,1.0,3,0.6157666666666667,0.052485934623795485,0.9155666666666665,0.01175811776320228,0.316,0.11434268669224107,45.666666666666664,3.3333333333333335
oversample,False,128,0.3,1.0,3,0.6153333333333334,0.07695819211320735,0.9155666666666668,0.03038459039271935,0.3151333333333333,0.14302378590057435,45.333333333333336,1.6666666666666667
oversample,False,128,0.3,2.0,3,0.6117333333333334,0.06615182033272653,0.9249999999999999,0.007454528824815166,0.29846666666666666,0.13980630648627168,46.0,4.0
oversample,True,128,0.3,0.25,3,0.6076333333333334,0.06306459651288777,0.9552,0.014201056298740612,0.2601,0.13920678862756658,47.333333333333336,3.0
oversample,True,128,0.3,2.0,3,0.6040333333333333,0.04178544403657012,0.9379333333333334,0.013741300278115381,0.27016666666666667,0.07190329153337371,42.333333333333336,3.6666666666666665
oversample,False,64,0.3,0.25,3,0.6028333333333333,0.030507430788798546,0.9147,0.014140721339450857,0.291,0.07219245112890958,46.0,4.0
oversample,True,128,0.3,1.0,3,0.5995666666666667,0.07499375529558,0.9224,0.008150460109711589,0.27676666666666666,0.14901967431629065,39.666666666666664,4.333333333333333
oversample,False,64,0.2,0.5,3,0.5989666666666666,0.06788919894455475,0.9379,0.011484337159801628,0.2601,0.13920678862756658,44.666666666666664,4.333333333333333
oversample,True,64,0.2,0.5,3,0.5963333333333333,0.03686534054275551,0.9525666666666667,0.013396019309232642,0.24013333333333334,0.07777083857933725,47.333333333333336,3.3333333333333335
oversample,False,64,0.2,1.0,3,0.5960333333333333,0.045467497548615246,0.9352666666666667,0.017255240749793482,0.2568,0.08587764551965778,45.333333333333336,3.6666666666666665
oversample,True,128,0.2,1.0,3,0.5945333333333335,0.09390044373342085,0.9465,0.019150195821453095,0.24253333333333335,0.16870759714172132,48.666666666666664,2.3333333333333335
oversample,False,128,0.2,2.0,3,0.5945,0.0473984176951088,0.9396666666666667,0.007839855440844166,0.24933333333333332,0.0879351086502617,46.333333333333336,3.0
oversample,False,128,0.2,0.5,3,0.5943333333333333,0.042546719419167135,0.9319000000000001,0.0011269427669584684,0.2568,0.08587764551965778,48.666666666666664,2.6666666666666665
oversample,False,64,0.3,0.5,3,0.5943333333333333,0.10560408767341033,0.9086333333333334,0.011610483768273117,0.2800333333333333,0.2017634836469011,43.0,3.3333333333333335
natural,False,128,0.2,2.0,3,0.5907666666666667,0.016825377657970497,0.9654999999999999,0.0037986839826444864,0.216,0.03161091583614749,55.0,1.6666666666666667
oversample,False,128,0.2,0.25,3,0.59,0.04227493347126641,0.9232333333333335,0.01506032314837014,0.2568,0.08587764551965778,47.0,4.333333333333333
oversample,False,128,0.1,1.0,3,0.5880666666666667,0.04975161638915195,0.9577,0.004158124577258349,0.21843333333333334,0.10111559391772039,52.0,1.6666666666666667
oversample,False,64,0.1,0.5,3,0.5867333333333332,0.04755757913659328,0.9508666666666666,0.01339937809502117,0.2226,0.10628278317770945,50.666666666666664,2.6666666666666665
oversample,False,64,0.3,2.0,3,0.5859,0.030411675389560463,0.8973666666666666,0.011281105146807816,0.2743333333333333,0.05563347313743169,40.666666666666664,5.0
oversample,True,64,0.3,1.0,3,0.5858666666666666,0.026402714506908787,0.8974000000000001,0.005708765190476814,0.2743333333333333,0.05563347313743169,40.0,5.666666666666667
oversample,False,64,0.2,2.0,3,0.5857333333333333,0.027745690356041512,0.9137333333333334,0.024757288489116337,0.25766666666666665,0.05143037364567103,46.666666666666664,5.0
oversample,False,64,0.1,2.0,3,0.5843,0.06173904761170197,0.9542999999999999,0.007660939890117926,0.2142666666666667,0.12452655673924871,53.333333333333336,2.3333333333333335
oversample,True,128,0.3,0.5,3,0.5840666666666666,0.057118677622414654,0.9456333333333333,0.02095001988861429,0.2226,0.10628278317770945,41.333333333333336,4.333333333333333
oversample,True,64,0.3,0.5,3,0.5824,0.025508429979126473,0.9113000000000001,0.033242893977510436,0.2535,0.04485253616017716,40.666666666666664,8.0
oversample,True,128,0.2,0.25,3,0.5811000000000001,0.048926066672071694,0.9397000000000001,0.008815327560561805,0.2226,0.10628278317770945,46.333333333333336,2.3333333333333335
oversample,False,128,0.2,1.0,3,0.5805333333333333,0.04000866572798117,0.9292333333333334,0.0243524810508772,0.2318,0.1034285743883188,49.0,3.0
oversample,True,64,0.3,2.0,3,0.5801,0.056493273935929705,0.9033333333333333,0.03196972526208714,0.2568,0.08587764551965778,40.333333333333336,6.0
oversample,False,64,0.1,0.25,3,0.5779666666666666,0.03094872102903988,0.9232666666666667,0.007600219295081806,0.23266666666666666,0.05943553931221061,49.0,1.6666666666666667
oversample,True,64,0.2,1.0,3,0.5773666666666667,0.043232433812281895,0.9145666666666665,0.024113343470645733,0.24013333333333334,0.07777083857933725,46.0,4.0
oversample,True,128,0.2,2.0,3,0.5767333333333333,0.038853871535965784,0.9517333333333333,0.006516389593427744,0.20176666666666665,0.08354258395173884,49.333333333333336,3.6666666666666665
oversample,False,64,0.1,1.0,3,0.5760333333333333,0.052187386726423944,0.9336333333333333,0.008795642860719901,0.21843333333333334,0.10111559391772039,47.666666666666664,3.0
